quantile,threshold,macro_avg_recall,weighted_avg_recall,avg_recall,classification_report_dict
0.53,15137.34287109375,0.5521308644783152,0.5523974295600593,0.5522641470191872,"{'Normal': {'precision': 0.8166132322937919, 'recall': 0.5526014752869709, 'f1-score': 0.6591540017879829, 'support': 50702.0}, 'Anomaly': {'precision': 0.25445342798921977, 'recall': 0.5516602536696594, 'f1-score': 0.348268106162843, 'support': 14034.0}, 'accuracy': 0.5523974295600593, 'macro avg': {'precision': 0.5355333301415058, 'recall': 0.5521308644783152, 'f1-score': 0.5037110539754129, 'support': 64736.0}, 'weighted avg': {'precision': 0.6947436281537406, 'recall': 0.5523974295600593, 'f1-score': 0.5917576124651452, 'support': 64736.0}}"
0.531,15137.4677734375,0.5511638344824077,0.5523356401384083,0.551749737310408,"{'Normal': {'precision': 0.8159287916690907, 'recall': 0.5532326140980632, 'f1-score': 0.659379407616361, 'support': 50702.0}, 'Anomaly': {'precision': 0.25383753870478953, 'recall': 0.5490950548667521, 'f1-score': 0.34717967201297534, 'support': 14034.0}, 'accuracy': 0.5523356401384083, 'macro avg': {'precision': 0.5348831651869401, 'recall': 0.5511638344824077, 'f1-score': 0.5032795398146682, 'support': 64736.0}, 'weighted avg': {'precision': 0.6940740486497352, 'recall': 0.5523356401384083, 'f1-score': 0.5916981933081259, 'support': 64736.0}}"
0.532,15137.51564453125,0.5505470389686336,0.5524592189817104,0.551503128975172,"{'Normal': {'precision': 0.8154761904761905, 'recall': 0.5539229221726953, 'f1-score': 0.6597214065913415, 'support': 50702.0}, 'Anomaly': {'precision': 0.25346580406654345, 'recall': 0.5471711557645718, 'f1-score': 0.34644710128581097, 'support': 14034.0}, 'accuracy': 0.5524592189817104, 'macro avg': {'precision': 0.5344709972713669, 'recall': 0.5505470389686336, 'f1-score': 0.5030842539385763, 'support': 64736.0}, 'weighted avg': {'precision': 0.6936389783705154, 'recall': 0.5524592189817104, 'f1-score': 0.5918072382667954, 'support': 64736.0}}"
0.533,15137.7294921875,0.5500962960018538,0.5527218240237272,0.5514090600127906,"{'Normal': {'precision': 0.815128242283727, 'recall': 0.5547315687744073, 'f1-score': 0.660180501601981, 'support': 50702.0}, 'Anomaly': {'precision': 0.25321689656313057, 'recall': 0.5454610232293002, 'f1-score': 0.3458714560036146, 'support': 14034.0}, 'accuracy': 0.5527218240237272, 'macro avg': {'precision': 0.5341725694234288, 'recall': 0.5500962960018538, 'f1-score': 0.5030259788027978, 'support': 64736.0}, 'weighted avg': {'precision': 0.6933125010293578, 'recall': 0.5527218240237272, 'f1-score': 0.5920420138065122, 'support': 64736.0}}"
0.534,15138.00974609375,0.5495902021860759,0.5529380869995056,0.5512641445927908,"{'Normal': {'precision': 0.8147473169602824, 'recall': 0.555500769200426, 'f1-score': 0.6605997349626485, 'support': 50702.0}, 'Anomaly': {'precision': 0.25292538203997744, 'recall': 0.5436796351717258, 'f1-score': 0.3452410578946178, 'support': 14034.0}, 'accuracy': 0.5529380869995056, 'macro avg': {'precision': 0.5338363495001299, 'recall': 0.5495902021860759, 'f1-score': 0.5029203964286331, 'support': 64736.0}, 'weighted avg': {'precision': 0.6929509589111048, 'recall': 0.5529380869995056, 'f1-score': 0.5922336994650468, 'support': 64736.0}}"
0.535,15138.53017578125,0.548957501998997,0.5530771131982205,0.5510173075986087,"{'Normal': {'precision': 0.8142865392388982, 'recall': 0.5562305234507514, 'f1-score': 0.6609637198837537, 'support': 50702.0}, 'Anomaly': {'precision': 0.2525413593781144, 'recall': 0.5416844805472424, 'f1-score': 0.34448069603045134, 'support': 14034.0}, 'accuracy': 0.5530771131982205, 'macro avg': {'precision': 0.5334139493085063, 'recall': 0.548957501998997, 'f1-score': 0.5027222079571025, 'support': 64736.0}, 'weighted avg': {'precision': 0.69250682077983, 'recall': 0.5530771131982205, 'f1-score': 0.5923539392862925, 'support': 64736.0}}"
0.536,15138.7089453125,0.5495431515050144,0.5540348492338113,0.5517890003694128,"{'Normal': {'precision': 0.8146002651449651, 'recall': 0.5574730779850894, 'f1-score': 0.661943793911007, 'support': 50702.0}, 'Anomaly': {'precision': 0.25304614155403155, 'recall': 0.5416132250249395, 'f1-score': 0.34493555999273917, 'support': 14034.0}, 'accuracy': 0.5540348492338112, 'macro avg': {'precision': 0.5338232033494983, 'recall': 0.5495431515050144, 'f1-score': 0.5034396769518731, 'support': 64736.0}, 'weighted avg': {'precision': 0.6928619654280354, 'recall': 0.5540348492338113, 'f1-score': 0.5932201539763652, 'support': 64736.0}}"
0.537,15139.290205078125,0.5493198550636087,0.5544519278299556,0.5518858914467821,"{'Normal': {'precision': 0.814400368207577, 'recall': 0.5583803400260344, 'f1-score': 0.6625168197507751, 'support': 50702.0}, 'Anomaly': {'precision': 0.2529609982317419, 'recall': 0.5402593701011829, 'f1-score': 0.3445815438452973, 'support': 14034.0}, 'accuracy': 0.5544519278299556, 'macro avg': {'precision': 0.5336806832196594, 'recall': 0.5493198550636087, 'f1-score': 0.5035491817980362, 'support': 64736.0}, 'weighted avg': {'precision': 0.6926869457186857, 'recall': 0.5544519278299556, 'f1-score': 0.5935922080655077, 'support': 64736.0}}"
0.538,15139.948115234374,0.5497334088932502,0.5553015323776569,0.5525174706354535,"{'Normal': {'precision': 0.8146031928333525, 'recall': 0.5595637252968325, 'f1-score': 0.6634163451420554, 'support': 50702.0}, 'Anomaly': {'precision': 0.25334358700013376, 'recall': 0.539903092489668, 'f1-score': 0.34486368394702105, 'support': 14034.0}, 'accuracy': 0.5553015323776569, 'macro avg': {'precision': 0.5339733899167431, 'recall': 0.5497334088932502, 'f1-score': 0.5041400145445383, 'support': 64736.0}, 'weighted avg': {'precision': 0.6929287410868221, 'recall': 0.5553015323776569, 'f1-score': 0.5943578916198867, 'support': 64736.0}}"
0.539,15140.255859375,0.5503941323361123,0.5563365051903114,0.5533653187632119,"{'Normal': {'precision': 0.8149591632038974, 'recall': 0.5608851721825568, 'f1-score': 0.6644625395749851, 'support': 50702.0}, 'Anomaly': {'precision': 0.2539124023993834, 'recall': 0.539903092489668, 'f1-score': 0.3453903133903134, 'support': 14034.0}, 'accuracy': 0.5563365051903114, 'macro avg': {'precision': 0.5344357828016404, 'recall': 0.5503941323361123, 'f1-score': 0.5049264264826493, 'support': 64736.0}, 'weighted avg': {'precision': 0.6933308537450098, 'recall': 0.5563365051903114, 'f1-score': 0.5952914505012752, 'support': 64736.0}}"
